feature,source_series,group,feat_type
T10YFFM__rollz6,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollmean12,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollstd12,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollz12,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollmean24,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollstd24,T10YFFM,Interest and Exchange Rates,rolling_stat
T10YFFM__rollz24,T10YFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollmean6,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollstd6,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollz6,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollmean12,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollstd12,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollz12,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollmean24,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollstd24,AAAFFM,Interest and Exchange Rates,rolling_stat
AAAFFM__rollz24,AAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollmean6,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollstd6,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollz6,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollmean12,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollstd12,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollz12,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollmean24,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollstd24,BAAFFM,Interest and Exchange Rates,rolling_stat
BAAFFM__rollz24,BAAFFM,Interest and Exchange Rates,rolling_stat
SP500__rollmean6,SP500,Stock Market,rolling_stat
SP500__rollstd6,SP500,Stock Market,rolling_stat
SP500__rollz6,SP500,Stock Market,rolling_stat
SP500__rollmean12,SP500,Stock Market,rolling_stat
SP500__rollstd12,SP500,Stock Market,rolling_stat
SP500__rollz12,SP500,Stock Market,rolling_stat
SP500__rollmean24,SP500,Stock Market,rolling_stat
SP500__rollstd24,SP500,Stock Market,rolling_stat
SP500__rollz24,SP500,Stock Market,rolling_stat
SP500__drawdown12,SP500,Stock Market,drawdown
SP500__drawdown36,SP500,Stock Market,drawdown
SP500__drawdown60,SP500,Stock Market,drawdown
INDPRO__drawdown12,INDPRO,Output and Income,drawdown
INDPRO__drawdown36,INDPRO,Output and Income,drawdown
INDPRO__drawdown60,INDPRO,Output and Income,drawdown
PAYEMS__drawdown12,PAYEMS,Labor Market,drawdown
PAYEMS__drawdown36,PAYEMS,Labor Market,drawdown
PAYEMS__drawdown60,PAYEMS,Labor Market,drawdown
HOUST__drawdown12,HOUST,Housing,drawdown
HOUST__drawdown36,HOUST,Housing,drawdown
HOUST__drawdown60,HOUST,Housing,drawdown
SP500_RETURN,SP500_RETURN,Stock Market,volatility
SP500__realizedvol3,SP500__realizedvol3,Stock Market,volatility
SP500__realizedvol6,SP500__realizedvol6,Stock Market,volatility
SP500__realizedvol12,SP500__realizedvol12,Stock Market,volatility
VIX_LEVEL,VIX_LEVEL,Stock Market,volatility
VIX_CHANGE,VIX_CHANGE,Stock Market,volatility
VIX__vol3,VIX__vol3,Stock Market,volatility
VIX__vol6,VIX__vol6,Stock Market,volatility
VIX__vol12,VIX__vol12,Stock Market,volatility
