feature,source_series,group,feat_type
PERMITNE__lag12,PERMITNE,Housing,lag
PERMITMW__lag1,PERMITMW,Housing,lag
PERMITMW__lag3,PERMITMW,Housing,lag
PERMITMW__lag6,PERMITMW,Housing,lag
PERMITMW__lag9,PERMITMW,Housing,lag
PERMITMW__lag12,PERMITMW,Housing,lag
PERMITS__lag1,PERMITS,Housing,lag
PERMITS__lag3,PERMITS,Housing,lag
PERMITS__lag6,PERMITS,Housing,lag
PERMITS__lag9,PERMITS,Housing,lag
PERMITS__lag12,PERMITS,Housing,lag
PERMITW__lag1,PERMITW,Housing,lag
PERMITW__lag3,PERMITW,Housing,lag
PERMITW__lag6,PERMITW,Housing,lag
PERMITW__lag9,PERMITW,Housing,lag
PERMITW__lag12,PERMITW,Housing,lag
DPCERA3M086SBEA__lag1,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
DPCERA3M086SBEA__lag3,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
