,DT,RF,XGB,Persistence
Accuracy,0.9487179487179487,0.9572649572649573,0.9700854700854701,0.9656652360515021
Balanced Accuracy,0.8484018264840183,0.7598173515981734,0.8598173515981735,0.8574923547400611
Precision,0.5789473684210527,0.7272727272727273,0.7857142857142857,0.7333333333333333
Recall,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.7333333333333333
F1,0.6470588235294118,0.6153846153846154,0.7586206896551724,0.7333333333333333
MCC,0.6248590659497488,0.6013358001481487,0.743197819874552,0.7149847094801223
ROC-AUC,0.8484018264840183,0.8945205479452055,0.8916286149162862,0.8574923547400612
