Feature,Importance,source_series,group,feat_type
CUUR0000SAD__lag1,0.00019020478,CUUR0000SAD,Prices,lag
DDURRG3M086SBEA__mom12,0.00019008183,DDURRG3M086SBEA,Prices,momentum
IPBUSEQ__lag12,0.0001890321,IPBUSEQ,Output and Income,lag
IPFUELS__rollstd24,0.00018890397,IPFUELS,Output and Income,rolling_stat
HOUSTS__mom3,0.00018862152,HOUSTS,Housing,momentum
IPDMAT__mom3,0.00018677507,IPDMAT,Output and Income,momentum
DTCOLNVHFNM__rollstd24,0.00018605369,DTCOLNVHFNM,Money and Credit,rolling_stat
IPDCONGD__rollz24,0.00018585911,IPDCONGD,Output and Income,rolling_stat
NDMANEMP__mom3,0.00018435877,NDMANEMP,Labor Market,momentum
CES1021000001__base,0.00018379181,CES1021000001,Labor Market,base
CPITRNSL__mom6,0.00018289068,CPITRNSL,Prices,momentum
CPIAUCSL__rollstd12,0.00018267478,CPIAUCSL,Prices,rolling_stat
USGOOD__lag6,0.00018158113,USGOOD,Labor Market,lag
OILPRICEx__rollstd12,0.00017983226,OILPRICEx,Prices,rolling_stat
DTCOLNVHFNM__lag1,0.0001795128,DTCOLNVHFNM,Money and Credit,lag
BAAFFM__mom3,0.0001773128,BAAFFM,Interest and Exchange Rates,momentum
AWHMAN__rollmean24,0.00017598637,AWHMAN,Labor Market,rolling_stat
DPCERA3M086SBEA__rollmean6,0.00017545221,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
T5YFFM__lag1,0.00017518483,T5YFFM,Interest and Exchange Rates,lag
PERMITNE__lag3,0.00017476063,PERMITNE,Housing,lag
PERMITMW__mom6,0.00017291502,PERMITMW,Housing,momentum
AWHMAN__mom3,0.00017266218,AWHMAN,Labor Market,momentum
IPDMAT__rollz24,0.00017234284,IPDMAT,Output and Income,rolling_stat
UEMPLT5__rollstd6,0.00017193155,UEMPLT5,Labor Market,rolling_stat
IPNCONGD__mom12,0.00017187536,IPNCONGD,Output and Income,momentum
PERMITNE__rollz6,0.00017162976,PERMITNE,Housing,rolling_stat
CPITRNSL__lag6,0.00017114288,CPITRNSL,Prices,lag
UEMPLT5__mom3,0.00017098845,UEMPLT5,Labor Market,momentum
PERMITNE__lag9,0.0001696621,PERMITNE,Housing,lag
DTCTHFNM__mom6,0.00016941877,DTCTHFNM,Money and Credit,momentum
UEMP5TO14__rollz24,0.0001692552,UEMP5TO14,Labor Market,rolling_stat
WPSFD49207__mom12,0.00016823999,WPSFD49207,Prices,momentum
M2REAL__mom3,0.00016774486,M2REAL,Money and Credit,momentum
AAAFFM__lag1,0.00016744953,AAAFFM,Interest and Exchange Rates,lag
IPFUELS__mom12,0.0001667283,IPFUELS,Output and Income,momentum
UEMP5TO14__mom12,0.00016653274,UEMP5TO14,Labor Market,momentum
SP500__mom3,0.00016580222,SP500,Stock Market,momentum
IPFINAL__lag12,0.00016578975,IPFINAL,Output and Income,lag
IPMANSICS__rollz24,0.00016569906,IPMANSICS,Output and Income,rolling_stat
WPSFD49207__base,0.00016520004,WPSFD49207,Prices,base
CES0600000008__lag9,0.00016352757,CES0600000008,Prices,lag
USGOVT__rollstd24,0.00016288485,USGOVT,Labor Market,rolling_stat
CUMFNS__rollz24,0.00016286451,CUMFNS,Output and Income,rolling_stat
PAYEMS__lag3,0.00016247222,PAYEMS,Labor Market,lag
USGOVT__mom12,0.00016015158,USGOVT,Labor Market,momentum
CUMFNS__rollstd6,0.00016002759,CUMFNS,Output and Income,rolling_stat
MANEMP__mom6,0.00015969215,MANEMP,Labor Market,momentum
IPFPNSS__rollz12,0.0001578945,IPFPNSS,Output and Income,rolling_stat
HOUSTS__mom12,0.0001572688,HOUSTS,Housing,momentum
IPDCONGD__rollstd24,0.00015713525,IPDCONGD,Output and Income,rolling_stat
CES0600000008__rollstd6,0.00015672517,CES0600000008,Prices,rolling_stat
PERMIT__rollz24,0.00015647168,PERMIT,Housing,rolling_stat
CUSR0000SAS__rollmean12,0.00015635107,CUSR0000SAS,Prices,rolling_stat
HOUSTW__rollstd12,0.000155859,HOUSTW,Housing,rolling_stat
PERMITNE__lag12,0.0001555407,PERMITNE,Housing,lag
IPDCONGD__rollmean12,0.00015513002,IPDCONGD,Output and Income,rolling_stat
SP500__drawdown60,0.00015401225,SP500,Stock Market,drawdown
USTRADE__rollstd24,0.0001537591,USTRADE,Labor Market,rolling_stat
