Feature,Importance,source_series,group,feat_type
NONREVSL__lag6,7.923835e-05,NONREVSL,Money and Credit,lag
IPB51222S__lag1,7.874624e-05,IPB51222S,Output and Income,lag
CPIAPPSL__rollstd12,7.8419114e-05,CPIAPPSL,Prices,rolling_stat
UNRATE__rollz24,7.814615e-05,UNRATE,Labor Market,rolling_stat
USFIRE__rollstd6,7.808595e-05,USFIRE,Labor Market,rolling_stat
WPSID61__lag6,7.7967066e-05,WPSID61,Prices,lag
UEMPLT5__lag9,7.7445744e-05,UEMPLT5,Labor Market,lag
HOUSTS__rollz6,7.727305e-05,HOUSTS,Housing,rolling_stat
CPIAUCSL__base,7.7040895e-05,CPIAUCSL,Prices,base
USGOVT__lag3,7.575861e-05,USGOVT,Labor Market,lag
INDPRO__lag6,7.5753094e-05,INDPRO,Output and Income,lag
USGOVT__lag9,7.5665805e-05,USGOVT,Labor Market,lag
IPFUELS__rollmean6,7.560357e-05,IPFUELS,Output and Income,rolling_stat
OILPRICEx__mom3,7.500167e-05,OILPRICEx,Prices,momentum
USTPU__lag3,7.4755415e-05,USTPU,Labor Market,lag
CUMFNS__lag6,7.4566364e-05,CUMFNS,Output and Income,lag
BUSLOANS__rollstd12,7.4252566e-05,BUSLOANS,Money and Credit,rolling_stat
UEMP15OV__rollmean24,7.404168e-05,UEMP15OV,Labor Market,rolling_stat
CONSPI__lag3,7.39729e-05,CONSPI,Money and Credit,lag
INVEST__rollmean24,7.386929e-05,INVEST,Money and Credit,rolling_stat
IPB51222S__lag6,7.3697294e-05,IPB51222S,Output and Income,lag
BAA__rollmean24,7.3363735e-05,BAA,Interest and Exchange Rates,rolling_stat
PERMITW__rollz12,7.321054e-05,PERMITW,Housing,rolling_stat
WPSFD49207__mom6,7.3182266e-05,WPSFD49207,Prices,momentum
UNRATE__rollmean24,7.2573835e-05,UNRATE,Labor Market,rolling_stat
W875RX1__rollz24,7.254613e-05,W875RX1,Output and Income,rolling_stat
USFIRE__mom3,7.194917e-05,USFIRE,Labor Market,momentum
IPNCONGD__lag1,7.1937706e-05,IPNCONGD,Output and Income,lag
UEMPLT5__rollstd12,7.191785e-05,UEMPLT5,Labor Market,rolling_stat
USFIRE__mom6,7.126947e-05,USFIRE,Labor Market,momentum
PERMITS__lag6,7.1170994e-05,PERMITS,Housing,lag
CES1021000001__lag6,7.113959e-05,CES1021000001,Labor Market,lag
GS1__rollz12,7.103406e-05,GS1,Interest and Exchange Rates,rolling_stat
CPIMEDSL__rollz24,7.067036e-05,CPIMEDSL,Prices,rolling_stat
UEMP5TO14__rollmean24,7.050477e-05,UEMP5TO14,Labor Market,rolling_stat
IPFUELS__lag3,7.0271635e-05,IPFUELS,Output and Income,lag
AAAFFM__rollmean6,7.020394e-05,AAAFFM,Interest and Exchange Rates,rolling_stat
WPSFD49502__base,6.985074e-05,WPSFD49502,Prices,base
UEMPLT5__rollstd24,6.9750735e-05,UEMPLT5,Labor Market,rolling_stat
CLF16OV__base,6.972076e-05,CLF16OV,Labor Market,base
PERMIT__rollstd6,6.948383e-05,PERMIT,Housing,rolling_stat
CPIULFSL__mom3,6.928059e-05,CPIULFSL,Prices,momentum
UEMPMEAN__rollstd6,6.872763e-05,UEMPMEAN,Labor Market,rolling_stat
BAA__rollstd12,6.851082e-05,BAA,Interest and Exchange Rates,rolling_stat
USTRADE__mom6,6.815797e-05,USTRADE,Labor Market,momentum
CUSR0000SA0L5__rollstd6,6.8071684e-05,CUSR0000SA0L5,Prices,rolling_stat
FEDFUNDS__lag1,6.7853514e-05,FEDFUNDS,Interest and Exchange Rates,lag
UEMP27OV__lag9,6.775942e-05,UEMP27OV,Labor Market,lag
CUMFNS__rollz12,6.773994e-05,CUMFNS,Output and Income,rolling_stat
T10YFFM__rollz24,6.7339046e-05,T10YFFM,Interest and Exchange Rates,rolling_stat
INVEST__rollmean6,6.73201e-05,INVEST,Money and Credit,rolling_stat
HOUSTMW__rollz24,6.6440654e-05,HOUSTMW,Housing,rolling_stat
PERMITMW__mom3,6.615243e-05,PERMITMW,Housing,momentum
TB3MS__rollz12,6.615079e-05,TB3MS,Interest and Exchange Rates,rolling_stat
CUMFNS__lag3,6.5903165e-05,CUMFNS,Output and Income,lag
UEMP5TO14__rollstd12,6.5577886e-05,UEMP5TO14,Labor Market,rolling_stat
UEMPLT5__rollz12,6.556018e-05,UEMPLT5,Labor Market,rolling_stat
NONREVSL__lag1,6.5278946e-05,NONREVSL,Money and Credit,lag
USWTRADE__rollstd6,6.5164495e-05,USWTRADE,Labor Market,rolling_stat
PPICMM__lag6,6.49263e-05,PPICMM,Prices,lag
INVEST__rollmean12,6.482844e-05,INVEST,Money and Credit,rolling_stat
CONSPI__rollmean12,6.4675376e-05,CONSPI,Money and Credit,rolling_stat
USTPU__lag9,6.460578e-05,USTPU,Labor Market,lag
CPIULFSL__base,6.414883e-05,CPIULFSL,Prices,base
PAYEMS__lag9,6.411311e-05,PAYEMS,Labor Market,lag
IPFINAL__lag3,6.393657e-05,IPFINAL,Output and Income,lag
M2REAL__rollstd24,6.387674e-05,M2REAL,Money and Credit,rolling_stat
UEMP5TO14__rollz12,6.384909e-05,UEMP5TO14,Labor Market,rolling_stat
PPICMM__lag9,6.383232e-05,PPICMM,Prices,lag
HOUSTNE__mom6,6.3619365e-05,HOUSTNE,Housing,momentum
IPDMAT__lag3,6.309645e-05,IPDMAT,Output and Income,lag
UEMP15OV__lag6,6.272498e-05,UEMP15OV,Labor Market,lag
CONSPI__lag1,6.230948e-05,CONSPI,Money and Credit,lag
IPNCONGD__rollmean24,6.2143634e-05,IPNCONGD,Output and Income,rolling_stat
IPB51222S__rollmean12,6.212401e-05,IPB51222S,Output and Income,rolling_stat
IPCONGD__lag6,6.21041e-05,IPCONGD,Output and Income,lag
CES2000000008__mom6,6.197462e-05,CES2000000008,Prices,momentum
RPI__lag12,6.15082e-05,RPI,Output and Income,lag
HOUSTMW__rollmean12,6.147096e-05,HOUSTMW,Housing,rolling_stat
CPIMEDSL__rollz6,6.13653e-05,CPIMEDSL,Prices,rolling_stat
USGOOD__mom6,6.1309125e-05,USGOOD,Labor Market,momentum
USFIRE__lag9,6.0995044e-05,USFIRE,Labor Market,lag
CES2000000008__rollstd12,6.053466e-05,CES2000000008,Prices,rolling_stat
PERMITMW__rollmean24,6.036467e-05,PERMITMW,Housing,rolling_stat
FEDFUNDS__lag9,6.0148806e-05,FEDFUNDS,Interest and Exchange Rates,lag
M1SL__mom3,5.9840273e-05,M1SL,Money and Credit,momentum
IPMAT__lag6,5.9634374e-05,IPMAT,Output and Income,lag
CES1021000001__lag3,5.9126192e-05,CES1021000001,Labor Market,lag
NONBORRES__rollstd12,5.9062077e-05,NONBORRES,Money and Credit,rolling_stat
HOUSTMW__rollz12,5.9006958e-05,HOUSTMW,Housing,rolling_stat
IPMAT__lag9,5.9004928e-05,IPMAT,Output and Income,lag
USFIRE__mom12,5.8994574e-05,USFIRE,Labor Market,momentum
DDURRG3M086SBEA__rollmean12,5.889877e-05,DDURRG3M086SBEA,Prices,rolling_stat
IPDCONGD__rollstd6,5.888384e-05,IPDCONGD,Output and Income,rolling_stat
CUMFNS__lag12,5.8543188e-05,CUMFNS,Output and Income,lag
CES0600000007__mom12,5.839377e-05,CES0600000007,Labor Market,momentum
UEMP15T26__rollstd6,5.81521e-05,UEMP15T26,Labor Market,rolling_stat
UEMP27OV__lag1,5.808709e-05,UEMP27OV,Labor Market,lag
USGOVT__rollstd6,5.790162e-05,USGOVT,Labor Market,rolling_stat
USTPU__rollmean24,5.7417627e-05,USTPU,Labor Market,rolling_stat
GS1__mom6,5.7299912e-05,GS1,Interest and Exchange Rates,momentum
CPIAPPSL__mom3,5.7017278e-05,CPIAPPSL,Prices,momentum
DDURRG3M086SBEA__lag1,5.696417e-05,DDURRG3M086SBEA,Prices,lag
USTRADE__lag9,5.677291e-05,USTRADE,Labor Market,lag
WPSID62__lag6,5.6119643e-05,WPSID62,Prices,lag
UEMP15T26__rollmean24,5.574543e-05,UEMP15T26,Labor Market,rolling_stat
HOUSTW__mom3,5.541357e-05,HOUSTW,Housing,momentum
IPDCONGD__lag9,5.5245036e-05,IPDCONGD,Output and Income,lag
RPI__mom6,5.5105127e-05,RPI,Output and Income,momentum
HOUSTMW__rollmean6,5.5018496e-05,HOUSTMW,Housing,rolling_stat
NONREVSL__rollmean12,5.4954933e-05,NONREVSL,Money and Credit,rolling_stat
CE16OV__lag6,5.491405e-05,CE16OV,Labor Market,lag
CES3000000008__base,5.477416e-05,CES3000000008,Prices,base
TOTRESNS__rollstd24,5.4673226e-05,TOTRESNS,Money and Credit,rolling_stat
PAYEMS__rollz6,5.457424e-05,PAYEMS,Labor Market,rolling_stat
WPSID61__mom6,5.453885e-05,WPSID61,Prices,momentum
HOUSTNE__lag12,5.443833e-05,HOUSTNE,Housing,lag
UEMP5TO14__lag6,5.4134154e-05,UEMP5TO14,Labor Market,lag
TOTRESNS__lag9,5.4052703e-05,TOTRESNS,Money and Credit,lag
TB3MS__rollstd24,5.4031723e-05,TB3MS,Interest and Exchange Rates,rolling_stat
DSERRG3M086SBEA__rollstd6,5.402096e-05,DSERRG3M086SBEA,Prices,rolling_stat
CE16OV__rollz24,5.39981e-05,CE16OV,Labor Market,rolling_stat
IPNCONGD__lag12,5.38832e-05,IPNCONGD,Output and Income,lag
HOUST__lag3,5.3823613e-05,HOUST,Housing,lag
W875RX1__lag12,5.377901e-05,W875RX1,Output and Income,lag
IPMAT__rollmean24,5.3626067e-05,IPMAT,Output and Income,rolling_stat
IPBUSEQ__rollstd12,5.3563104e-05,IPBUSEQ,Output and Income,rolling_stat
TB3SMFFM__mom6,5.354511e-05,TB3SMFFM,Interest and Exchange Rates,momentum
DTCOLNVHFNM__mom3,5.3248412e-05,DTCOLNVHFNM,Money and Credit,momentum
WPSID61__rollmean12,5.2998083e-05,WPSID61,Prices,rolling_stat
CLF16OV__lag3,5.2920706e-05,CLF16OV,Labor Market,lag
CES2000000008__mom3,5.2643634e-05,CES2000000008,Prices,momentum
USGOOD__lag1,5.222164e-05,USGOOD,Labor Market,lag
PERMITW__lag3,5.2131265e-05,PERMITW,Housing,lag
INDPRO__lag9,5.206746e-05,INDPRO,Output and Income,lag
GS10__base,5.173539e-05,GS10,Interest and Exchange Rates,base
CUUR0000SA0L2__lag6,5.1714636e-05,CUUR0000SA0L2,Prices,lag
IPFPNSS__lag3,5.1689913e-05,IPFPNSS,Output and Income,lag
W875RX1__lag3,5.1558607e-05,W875RX1,Output and Income,lag
PPICMM__rollstd6,5.1414383e-05,PPICMM,Prices,rolling_stat
PERMITS__lag9,5.11782e-05,PERMITS,Housing,lag
CES0600000007__rollz24,5.115702e-05,CES0600000007,Labor Market,rolling_stat
IPNCONGD__lag9,5.054796e-05,IPNCONGD,Output and Income,lag
MANEMP__lag3,5.016055e-05,MANEMP,Labor Market,lag
CE16OV__lag3,4.9821298e-05,CE16OV,Labor Market,lag
TB6SMFFM__mom3,4.9605824e-05,TB6SMFFM,Interest and Exchange Rates,momentum
IPCONGD__mom3,4.93227e-05,IPCONGD,Output and Income,momentum
T10YFFM__rollstd24,4.931491e-05,T10YFFM,Interest and Exchange Rates,rolling_stat
NONREVSL__rollz12,4.9293973e-05,NONREVSL,Money and Credit,rolling_stat
DSERRG3M086SBEA__lag1,4.9188933e-05,DSERRG3M086SBEA,Prices,lag
PERMIT__lag6,4.9122955e-05,PERMIT,Housing,lag
USGOVT__mom6,4.91139e-05,USGOVT,Labor Market,momentum
PCEPI__rollstd12,4.9110182e-05,PCEPI,Prices,rolling_stat
TB6MS__rollz12,4.892875e-05,TB6MS,Interest and Exchange Rates,rolling_stat
BUSLOANS__lag3,4.875515e-05,BUSLOANS,Money and Credit,lag
CPIAPPSL__lag6,4.8490183e-05,CPIAPPSL,Prices,lag
USFIRE__lag12,4.8440386e-05,USFIRE,Labor Market,lag
CES1021000001__lag1,4.8347007e-05,CES1021000001,Labor Market,lag
PCEPI__rollstd6,4.8324633e-05,PCEPI,Prices,rolling_stat
FEDFUNDS__mom3,4.817013e-05,FEDFUNDS,Interest and Exchange Rates,momentum
PERMITNE__lag6,4.8132697e-05,PERMITNE,Housing,lag
NONBORRES__mom6,4.7875285e-05,NONBORRES,Money and Credit,momentum
DNDGRG3M086SBEA__rollmean24,4.7690617e-05,DNDGRG3M086SBEA,Prices,rolling_stat
USCONS__lag12,4.7553414e-05,USCONS,Labor Market,lag
TOTRESNS__lag12,4.677368e-05,TOTRESNS,Money and Credit,lag
CE16OV__rollstd24,4.662016e-05,CE16OV,Labor Market,rolling_stat
INDPRO__drawdown12,4.6145262e-05,INDPRO,Output and Income,drawdown
USWTRADE__lag9,4.5848905e-05,USWTRADE,Labor Market,lag
IPBUSEQ__rollz24,4.578669e-05,IPBUSEQ,Output and Income,rolling_stat
CONSPI__lag12,4.567396e-05,CONSPI,Money and Credit,lag
DMANEMP__rollz6,4.5597048e-05,DMANEMP,Labor Market,rolling_stat
CPIULFSL__rollstd6,4.553362e-05,CPIULFSL,Prices,rolling_stat
IPFINAL__lag9,4.5342575e-05,IPFINAL,Output and Income,lag
CPIMEDSL__rollz12,4.526886e-05,CPIMEDSL,Prices,rolling_stat
IPNCONGD__rollstd12,4.515378e-05,IPNCONGD,Output and Income,rolling_stat
PCEPI__rollmean6,4.4974513e-05,PCEPI,Prices,rolling_stat
USCONS__rollstd12,4.474523e-05,USCONS,Labor Market,rolling_stat
IPMANSICS__lag3,4.4432167e-05,IPMANSICS,Output and Income,lag
USTPU__lag6,4.438071e-05,USTPU,Labor Market,lag
AWOTMAN__rollmean12,4.4363624e-05,AWOTMAN,Labor Market,rolling_stat
IPCONGD__rollstd24,4.4324886e-05,IPCONGD,Output and Income,rolling_stat
SRVPRD__lag1,4.359783e-05,SRVPRD,Labor Market,lag
UEMP15OV__rollstd12,4.350757e-05,UEMP15OV,Labor Market,rolling_stat
DPCERA3M086SBEA__rollstd24,4.3222706e-05,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
BAAFFM__rollz6,4.3210523e-05,BAAFFM,Interest and Exchange Rates,rolling_stat
IPB51222S__mom6,4.3195985e-05,IPB51222S,Output and Income,momentum
USTRADE__mom12,4.3152646e-05,USTRADE,Labor Market,momentum
HOUSTNE__lag3,4.3037864e-05,HOUSTNE,Housing,lag
CONSPI__mom3,4.2964966e-05,CONSPI,Money and Credit,momentum
NONREVSL__mom3,4.2813153e-05,NONREVSL,Money and Credit,momentum
HOUST__lag12,4.2478958e-05,HOUST,Housing,lag
M1SL__rollstd24,4.2466327e-05,M1SL,Money and Credit,rolling_stat
M2REAL__lag1,4.2405467e-05,M2REAL,Money and Credit,lag
M2SL__lag9,4.240234e-05,M2SL,Money and Credit,lag
CUUR0000SA0L2__mom6,4.2392883e-05,CUUR0000SA0L2,Prices,momentum
CPITRNSL__lag12,4.23421e-05,CPITRNSL,Prices,lag
CES0600000007__rollstd12,4.2224474e-05,CES0600000007,Labor Market,rolling_stat
IPMANSICS__rollz12,4.221717e-05,IPMANSICS,Output and Income,rolling_stat
CLF16OV__lag6,4.219802e-05,CLF16OV,Labor Market,lag
TB3SMFFM__rollz12,4.2153177e-05,TB3SMFFM,Interest and Exchange Rates,rolling_stat
HOUSTMW__lag6,4.1594387e-05,HOUSTMW,Housing,lag
CPIAUCSL__lag3,4.1563777e-05,CPIAUCSL,Prices,lag
W875RX1__rollz12,4.154034e-05,W875RX1,Output and Income,rolling_stat
M1SL__mom12,4.139666e-05,M1SL,Money and Credit,momentum
HOUST__lag6,4.1260235e-05,HOUST,Housing,lag
SRVPRD__lag3,4.1132982e-05,SRVPRD,Labor Market,lag
M1SL__lag9,4.109199e-05,M1SL,Money and Credit,lag
GS1__rollz24,4.093096e-05,GS1,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollz6,4.070362e-05,FEDFUNDS,Interest and Exchange Rates,rolling_stat
PERMITW__rollmean6,4.0562358e-05,PERMITW,Housing,rolling_stat
CPIAUCSL__lag6,4.011043e-05,CPIAUCSL,Prices,lag
CES2000000008__base,3.9873692e-05,CES2000000008,Prices,base
IPNCONGD__rollmean12,3.975153e-05,IPNCONGD,Output and Income,rolling_stat
USTRADE__rollz24,3.9531344e-05,USTRADE,Labor Market,rolling_stat
HOUST__rollz24,3.9482216e-05,HOUST,Housing,rolling_stat
OILPRICEx__base,3.941828e-05,OILPRICEx,Prices,base
IPMAT__rollz24,3.9227893e-05,IPMAT,Output and Income,rolling_stat
W875RX1__lag6,3.8948132e-05,W875RX1,Output and Income,lag
CES1021000001__rollstd24,3.8896902e-05,CES1021000001,Labor Market,rolling_stat
TB3SMFFM__rollz24,3.8786362e-05,TB3SMFFM,Interest and Exchange Rates,rolling_stat
USGOVT__rollmean12,3.873159e-05,USGOVT,Labor Market,rolling_stat
HOUSTS__rollmean6,3.8584916e-05,HOUSTS,Housing,rolling_stat
IPFPNSS__rollmean6,3.8493232e-05,IPFPNSS,Output and Income,rolling_stat
IPDMAT__lag1,3.844919e-05,IPDMAT,Output and Income,lag
TB6MS__lag3,3.8340964e-05,TB6MS,Interest and Exchange Rates,lag
USTPU__rollstd24,3.8279508e-05,USTPU,Labor Market,rolling_stat
CPIMEDSL__rollmean12,3.816567e-05,CPIMEDSL,Prices,rolling_stat
UNRATE__lag3,3.8063736e-05,UNRATE,Labor Market,lag
BAA__rollmean6,3.7994883e-05,BAA,Interest and Exchange Rates,rolling_stat
T5YFFM__mom12,3.784242e-05,T5YFFM,Interest and Exchange Rates,momentum
TB3SMFFM__rollstd24,3.7810063e-05,TB3SMFFM,Interest and Exchange Rates,rolling_stat
IPB51222S__lag3,3.777028e-05,IPB51222S,Output and Income,lag
WPSFD49502__lag9,3.7571983e-05,WPSFD49502,Prices,lag
IPFPNSS__rollstd6,3.7516904e-05,IPFPNSS,Output and Income,rolling_stat
SRVPRD__rollstd12,3.7201655e-05,SRVPRD,Labor Market,rolling_stat
CE16OV__lag12,3.6822945e-05,CE16OV,Labor Market,lag
CES3000000008__mom6,3.681667e-05,CES3000000008,Prices,momentum
IPB51222S__lag9,3.6635323e-05,IPB51222S,Output and Income,lag
CE16OV__lag1,3.6435966e-05,CE16OV,Labor Market,lag
PERMITS__rollz12,3.6373243e-05,PERMITS,Housing,rolling_stat
CUSR0000SAC__base,3.627644e-05,CUSR0000SAC,Prices,base
CUSR0000SAC__mom12,3.6263253e-05,CUSR0000SAC,Prices,momentum
RPI__rollz12,3.6044654e-05,RPI,Output and Income,rolling_stat
PERMITW__lag6,3.6030433e-05,PERMITW,Housing,lag
REALLN__rollstd6,3.5995377e-05,REALLN,Money and Credit,rolling_stat
CES3000000008__rollstd6,3.588418e-05,CES3000000008,Prices,rolling_stat
IPFINAL__rollz6,3.5786794e-05,IPFINAL,Output and Income,rolling_stat
GS10__lag3,3.55735e-05,GS10,Interest and Exchange Rates,lag
NONREVSL__rollstd24,3.5382556e-05,NONREVSL,Money and Credit,rolling_stat
T5YFFM__rollstd6,3.5342968e-05,T5YFFM,Interest and Exchange Rates,rolling_stat
CONSPI__rollmean6,3.5273173e-05,CONSPI,Money and Credit,rolling_stat
M1SL__lag3,3.5158675e-05,M1SL,Money and Credit,lag
T5YFFM__rollstd12,3.5151123e-05,T5YFFM,Interest and Exchange Rates,rolling_stat
INVEST__rollz12,3.5129062e-05,INVEST,Money and Credit,rolling_stat
CONSPI__mom12,3.5025914e-05,CONSPI,Money and Credit,momentum
CUSR0000SAS__rollmean24,3.49835e-05,CUSR0000SAS,Prices,rolling_stat
IPNMAT__lag9,3.494112e-05,IPNMAT,Output and Income,lag
DPCERA3M086SBEA__lag12,3.4759716e-05,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
CES0600000008__lag12,3.4691402e-05,CES0600000008,Prices,lag
MANEMP__lag1,3.4591412e-05,MANEMP,Labor Market,lag
IPB51222S__lag12,3.4523797e-05,IPB51222S,Output and Income,lag
HOUSTS__lag12,3.4490753e-05,HOUSTS,Housing,lag
DSERRG3M086SBEA__mom6,3.44533e-05,DSERRG3M086SBEA,Prices,momentum
CUSR0000SAC__mom3,3.4365275e-05,CUSR0000SAC,Prices,momentum
UEMPMEAN__lag9,3.433752e-05,UEMPMEAN,Labor Market,lag
REALLN__lag12,3.427238e-05,REALLN,Money and Credit,lag
CES0600000007__rollstd24,3.423177e-05,CES0600000007,Labor Market,rolling_stat
AAA__lag12,3.3973763e-05,AAA,Interest and Exchange Rates,lag
AAA__mom6,3.3966182e-05,AAA,Interest and Exchange Rates,momentum
CPITRNSL__lag9,3.386307e-05,CPITRNSL,Prices,lag
INVEST__rollstd6,3.3756034e-05,INVEST,Money and Credit,rolling_stat
USCONS__lag6,3.3591234e-05,USCONS,Labor Market,lag
DTCTHFNM__base,3.3514058e-05,DTCTHFNM,Money and Credit,base
HOUSTMW__lag12,3.3419485e-05,HOUSTMW,Housing,lag
CUSR0000SAC__rollstd6,3.3309156e-05,CUSR0000SAC,Prices,rolling_stat
BAA__mom3,3.3225988e-05,BAA,Interest and Exchange Rates,momentum
M1SL__rollstd6,3.313971e-05,M1SL,Money and Credit,rolling_stat
T5YFFM__rollz12,3.301957e-05,T5YFFM,Interest and Exchange Rates,rolling_stat
WPSFD49207__rollstd6,3.2722095e-05,WPSFD49207,Prices,rolling_stat
HOUSTS__lag6,3.2715463e-05,HOUSTS,Housing,lag
IPDMAT__lag9,3.2540094e-05,IPDMAT,Output and Income,lag
UEMPMEAN__mom3,3.244678e-05,UEMPMEAN,Labor Market,momentum
WPSID62__lag9,3.225855e-05,WPSID62,Prices,lag
MANEMP__rollz6,3.2086806e-05,MANEMP,Labor Market,rolling_stat
UNRATE__lag6,3.2048632e-05,UNRATE,Labor Market,lag
AWOTMAN__rollstd24,3.195067e-05,AWOTMAN,Labor Market,rolling_stat
CREDIT_SPREAD_BAA_10Y,3.1517186e-05,CREDIT_SPREAD_BAA_10Y,Interest and Exchange Rates,spread
NONBORRES__mom12,3.149185e-05,NONBORRES,Money and Credit,momentum
AAA__lag6,3.147267e-05,AAA,Interest and Exchange Rates,lag
RPI__lag6,3.140964e-05,RPI,Output and Income,lag
USWTRADE__rollz24,3.13843e-05,USWTRADE,Labor Market,rolling_stat
DMANEMP__rollstd24,3.1377665e-05,DMANEMP,Labor Market,rolling_stat
SRVPRD__lag6,3.13476e-05,SRVPRD,Labor Market,lag
UEMP27OV__rollmean12,3.1347554e-05,UEMP27OV,Labor Market,rolling_stat
NDMANEMP__mom6,3.132668e-05,NDMANEMP,Labor Market,momentum
CUUR0000SA0L2__lag1,3.128681e-05,CUUR0000SA0L2,Prices,lag
DSERRG3M086SBEA__base,3.1221007e-05,DSERRG3M086SBEA,Prices,base
CES1021000001__rollz6,3.1208143e-05,CES1021000001,Labor Market,rolling_stat
IPMANSICS__rollz6,3.1185038e-05,IPMANSICS,Output and Income,rolling_stat
HOUSTS__rollstd6,3.1150623e-05,HOUSTS,Housing,rolling_stat
IPBUSEQ__rollmean24,3.112613e-05,IPBUSEQ,Output and Income,rolling_stat
TB6MS__mom3,3.112223e-05,TB6MS,Interest and Exchange Rates,momentum
T10YFFM__rollz12,3.111687e-05,T10YFFM,Interest and Exchange Rates,rolling_stat
AWOTMAN__rollz24,3.1048123e-05,AWOTMAN,Labor Market,rolling_stat
HOUSTS__rollstd24,3.055667e-05,HOUSTS,Housing,rolling_stat
CPIAUCSL__lag9,3.053627e-05,CPIAUCSL,Prices,lag
WPSFD49207__mom3,3.0417075e-05,WPSFD49207,Prices,momentum
CUSR0000SA0L5__mom6,3.0320567e-05,CUSR0000SA0L5,Prices,momentum
INDPRO__rollmean24,3.0319863e-05,INDPRO,Output and Income,rolling_stat
PERMIT__rollmean6,2.998776e-05,PERMIT,Housing,rolling_stat
DMANEMP__lag9,2.997588e-05,DMANEMP,Labor Market,lag
CES0600000007__rollz12,2.9945806e-05,CES0600000007,Labor Market,rolling_stat
CPIULFSL__lag6,2.9823828e-05,CPIULFSL,Prices,lag
NONBORRES__lag12,2.98033e-05,NONBORRES,Money and Credit,lag
CUSR0000SA0L5__base,2.97875e-05,CUSR0000SA0L5,Prices,base
IPFPNSS__rollstd24,2.965394e-05,IPFPNSS,Output and Income,rolling_stat
HOUST__rollstd6,2.956113e-05,HOUST,Housing,rolling_stat
PCEPI__rollmean24,2.9542663e-05,PCEPI,Prices,rolling_stat
IPFPNSS__lag9,2.9529854e-05,IPFPNSS,Output and Income,lag
PCEPI__base,2.9374354e-05,PCEPI,Prices,base
IPCONGD__rollz6,2.9228979e-05,IPCONGD,Output and Income,rolling_stat
CES2000000008__lag1,2.922386e-05,CES2000000008,Prices,lag
OILPRICEx__lag3,2.9172492e-05,OILPRICEx,Prices,lag
IPFPNSS__mom12,2.9083252e-05,IPFPNSS,Output and Income,momentum
CUSR0000SAS__rollstd6,2.900672e-05,CUSR0000SAS,Prices,rolling_stat
FEDFUNDS__rollmean24,2.8962895e-05,FEDFUNDS,Interest and Exchange Rates,rolling_stat
WPSFD49502__lag12,2.8863054e-05,WPSFD49502,Prices,lag
INVEST__lag12,2.8762212e-05,INVEST,Money and Credit,lag
DPCERA3M086SBEA__lag3,2.8716093e-05,DPCERA3M086SBEA,"Consumption, Orders and Inventories",lag
INDPRO__lag1,2.8350672e-05,INDPRO,Output and Income,lag
PPICMM__rollmean6,2.8348804e-05,PPICMM,Prices,rolling_stat
DDURRG3M086SBEA__lag12,2.831061e-05,DDURRG3M086SBEA,Prices,lag
GS1__lag9,2.8292123e-05,GS1,Interest and Exchange Rates,lag
T1YFFM__mom6,2.8048515e-05,T1YFFM,Interest and Exchange Rates,momentum
NONBORRES__lag6,2.8047076e-05,NONBORRES,Money and Credit,lag
CPIMEDSL__lag9,2.7990991e-05,CPIMEDSL,Prices,lag
M1SL__lag6,2.7982831e-05,M1SL,Money and Credit,lag
NONBORRES__rollstd6,2.7948015e-05,NONBORRES,Money and Credit,rolling_stat
IPNMAT__lag12,2.7857792e-05,IPNMAT,Output and Income,lag
CPIAPPSL__rollstd24,2.7757937e-05,CPIAPPSL,Prices,rolling_stat
AWOTMAN__rollmean6,2.7723247e-05,AWOTMAN,Labor Market,rolling_stat
WPSFD49207__lag1,2.7695167e-05,WPSFD49207,Prices,lag
NDMANEMP__mom12,2.7640954e-05,NDMANEMP,Labor Market,momentum
INVEST__lag9,2.7550948e-05,INVEST,Money and Credit,lag
CUSR0000SA0L5__lag9,2.7480924e-05,CUSR0000SA0L5,Prices,lag
M1SL__lag12,2.7437683e-05,M1SL,Money and Credit,lag
CONSPI__rollstd12,2.7383334e-05,CONSPI,Money and Credit,rolling_stat
REALLN__mom6,2.7212614e-05,REALLN,Money and Credit,momentum
HOUSTNE__mom12,2.7170558e-05,HOUSTNE,Housing,momentum
MANEMP__mom12,2.7168113e-05,MANEMP,Labor Market,momentum
TOTRESNS__lag3,2.7094835e-05,TOTRESNS,Money and Credit,lag
IPCONGD__rollstd12,2.706325e-05,IPCONGD,Output and Income,rolling_stat
W875RX1__rollstd24,2.704165e-05,W875RX1,Output and Income,rolling_stat
T5YFFM__rollmean6,2.7038952e-05,T5YFFM,Interest and Exchange Rates,rolling_stat
CUSR0000SAC__mom6,2.698599e-05,CUSR0000SAC,Prices,momentum
HOUST__rollz12,2.6845708e-05,HOUST,Housing,rolling_stat
CUSR0000SAS__rollz6,2.6803058e-05,CUSR0000SAS,Prices,rolling_stat
CPITRNSL__rollmean24,2.6777336e-05,CPITRNSL,Prices,rolling_stat
M2REAL__lag6,2.6754513e-05,M2REAL,Money and Credit,lag
HOUST__rollmean12,2.6752023e-05,HOUST,Housing,rolling_stat
HOUSTS__lag3,2.6559854e-05,HOUSTS,Housing,lag
