Feature,Importance,source_series,group,feat_type
IPBUSEQ__rollstd6,0.0022771105,IPBUSEQ,Output and Income,rolling_stat
USGOVT__rollstd6,0.0022599776,USGOVT,Labor Market,rolling_stat
BUSLOANS__mom6,0.0022445428,BUSLOANS,Money and Credit,momentum
CUSR0000SAC__lag1,0.0022175785,CUSR0000SAC,Prices,lag
FEDFUNDS__lag6,0.0021272441,FEDFUNDS,Interest and Exchange Rates,lag
SP500__mom3,0.0021201451,SP500,Stock Market,momentum
IPBUSEQ__base,0.0020926346,IPBUSEQ,Output and Income,base
T5YFFM__lag6,0.002081062,T5YFFM,Interest and Exchange Rates,lag
PERMITW__rollstd12,0.0020798442,PERMITW,Housing,rolling_stat
HOUSTW__rollmean6,0.0020638085,HOUSTW,Housing,rolling_stat
DMANEMP__lag1,0.0020241959,DMANEMP,Labor Market,lag
CES0600000008__rollstd24,0.0020025808,CES0600000008,Prices,rolling_stat
M1SL__base,0.0019890072,M1SL,Money and Credit,base
NONREVSL__lag9,0.001967624,NONREVSL,Money and Credit,lag
GS1__mom12,0.0019614643,GS1,Interest and Exchange Rates,momentum
CES3000000008__rollstd6,0.0019563932,CES3000000008,Prices,rolling_stat
GS10__mom12,0.0018916641,GS10,Interest and Exchange Rates,momentum
T5YFFM__base,0.0018537311,T5YFFM,Interest and Exchange Rates,base
GS10__mom6,0.0018216479,GS10,Interest and Exchange Rates,momentum
CES0600000007__rollz6,0.0018179874,CES0600000007,Labor Market,rolling_stat
UEMP15OV__base,0.0017800078,UEMP15OV,Labor Market,base
SP500__rollmean24,0.0017495027,SP500,Stock Market,rolling_stat
USWTRADE__rollstd12,0.0017398363,USWTRADE,Labor Market,rolling_stat
MANEMP__lag6,0.0017358332,MANEMP,Labor Market,lag
BAAFFM__base,0.001692162,BAAFFM,Interest and Exchange Rates,base
RPI__base,0.0016372972,RPI,Output and Income,base
CPITRNSL__lag1,0.0016099142,CPITRNSL,Prices,lag
PERMIT__mom12,0.0016093788,PERMIT,Housing,momentum
UEMP27OV__rollmean12,0.0015666601,UEMP27OV,Labor Market,rolling_stat
UEMP5TO14__base,0.0015449825,UEMP5TO14,Labor Market,base
M2SL__base,0.0015026099,M2SL,Money and Credit,base
HOUSTS__lag6,0.0014905424,HOUSTS,Housing,lag
AWOTMAN__rollz12,0.0014787371,AWOTMAN,Labor Market,rolling_stat
UEMPMEAN__lag6,0.0014696656,UEMPMEAN,Labor Market,lag
IPNCONGD__mom6,0.001450675,IPNCONGD,Output and Income,momentum
PERMITNE__lag6,0.0014321561,PERMITNE,Housing,lag
IPB51222S__mom6,0.0014098837,IPB51222S,Output and Income,momentum
USTRADE__lag1,0.0013982855,USTRADE,Labor Market,lag
SP500__realizedvol3,0.001394774,SP500__realizedvol3,Stock Market,volatility
WPSFD49502__lag1,0.0013626383,WPSFD49502,Prices,lag
BUSLOANS__mom3,0.0013579545,BUSLOANS,Money and Credit,momentum
AWOTMAN__rollz24,0.0013492417,AWOTMAN,Labor Market,rolling_stat
T5YFFM__rollstd12,0.0013487817,T5YFFM,Interest and Exchange Rates,rolling_stat
TB6MS__mom3,0.0013375102,TB6MS,Interest and Exchange Rates,momentum
GS10__rollmean6,0.0013332897,GS10,Interest and Exchange Rates,rolling_stat
GS1__base,0.001325958,GS1,Interest and Exchange Rates,base
USGOOD__mom12,0.0012938884,USGOOD,Labor Market,momentum
UEMP5TO14__rollstd24,0.0012878338,UEMP5TO14,Labor Market,rolling_stat
T1YFFM__lag9,0.0012836426,T1YFFM,Interest and Exchange Rates,lag
IPDMAT__mom6,0.0012591904,IPDMAT,Output and Income,momentum
CUUR0000SAD__lag6,0.0012534789,CUUR0000SAD,Prices,lag
SP500__rollmean12,0.0012470661,SP500,Stock Market,rolling_stat
USGOVT__lag9,0.0012378163,USGOVT,Labor Market,lag
CUUR0000SA0L2__lag9,0.0012189728,CUUR0000SA0L2,Prices,lag
CLF16OV__lag12,0.0012153973,CLF16OV,Labor Market,lag
PERMITNE__rollz12,0.001197839,PERMITNE,Housing,rolling_stat
GS5__mom6,0.0011882908,GS5,Interest and Exchange Rates,momentum
UEMP5TO14__rollstd6,0.0011863969,UEMP5TO14,Labor Market,rolling_stat
UEMPMEAN__mom3,0.0011652106,UEMPMEAN,Labor Market,momentum
PAYEMS__lag12,0.0011425163,PAYEMS,Labor Market,lag
GS10__rollmean12,0.0011300561,GS10,Interest and Exchange Rates,rolling_stat
CUMFNS__mom3,0.0011250789,CUMFNS,Output and Income,momentum
IPFUELS__rollstd12,0.0011137396,IPFUELS,Output and Income,rolling_stat
INDPRO__rollmean24,0.001111054,INDPRO,Output and Income,rolling_stat
PERMITNE__mom6,0.0010994651,PERMITNE,Housing,momentum
BAA__lag6,0.001090495,BAA,Interest and Exchange Rates,lag
IPBUSEQ__lag1,0.0010772987,IPBUSEQ,Output and Income,lag
INDPRO__lag6,0.0010705558,INDPRO,Output and Income,lag
TB6MS__rollmean24,0.0010677316,TB6MS,Interest and Exchange Rates,rolling_stat
CUUR0000SAD__lag12,0.0010665264,CUUR0000SAD,Prices,lag
IPNCONGD__base,0.0010326995,IPNCONGD,Output and Income,base
IPFPNSS__lag1,0.0010295559,IPFPNSS,Output and Income,lag
MANEMP__mom3,0.0010273287,MANEMP,Labor Market,momentum
WPSFD49502__lag12,0.0010170055,WPSFD49502,Prices,lag
TB3SMFFM__rollmean6,0.0009986348,TB3SMFFM,Interest and Exchange Rates,rolling_stat
WPSFD49207__rollmean6,0.0009921329,WPSFD49207,Prices,rolling_stat
HOUST__lag6,0.0009612567,HOUST,Housing,lag
OILPRICEx__lag1,0.00095876673,OILPRICEx,Prices,lag
IPB51222S__rollstd12,0.0009475689,IPB51222S,Output and Income,rolling_stat
TERM_SPREAD_10YFF,0.000919009,TERM_SPREAD_10YFF,Interest and Exchange Rates,spread
IPDMAT__rollmean6,0.00089508767,IPDMAT,Output and Income,rolling_stat
USCONS__lag9,0.0008817127,USCONS,Labor Market,lag
USGOVT__base,0.00087376294,USGOVT,Labor Market,base
IPDMAT__rollstd24,0.0008721182,IPDMAT,Output and Income,rolling_stat
DSERRG3M086SBEA__mom12,0.0008671426,DSERRG3M086SBEA,Prices,momentum
VIX__vol3,0.0008545014,VIX__vol3,Stock Market,volatility
UEMPMEAN__base,0.000848896,UEMPMEAN,Labor Market,base
IPMANSICS__rollmean24,0.0008483462,IPMANSICS,Output and Income,rolling_stat
CES2000000008__mom3,0.0008369283,CES2000000008,Prices,momentum
PERMITNE__mom12,0.0008363397,PERMITNE,Housing,momentum
INDPRO__rollstd24,0.0008347841,INDPRO,Output and Income,rolling_stat
CONSPI__lag1,0.0008120426,CONSPI,Money and Credit,lag
CES0600000007__base,0.00078759604,CES0600000007,Labor Market,base
UEMP27OV__mom12,0.0007846181,UEMP27OV,Labor Market,momentum
UEMPLT5__rollstd6,0.00078275474,UEMPLT5,Labor Market,rolling_stat
CES0600000007__mom3,0.0007748457,CES0600000007,Labor Market,momentum
GS10__rollstd6,0.0007690823,GS10,Interest and Exchange Rates,rolling_stat
HOUST__lag1,0.0007657259,HOUST,Housing,lag
IPFINAL__base,0.0007611604,IPFINAL,Output and Income,base
UEMPLT5__lag12,0.0007583661,UEMPLT5,Labor Market,lag
DTCTHFNM__rollmean6,0.00075285323,DTCTHFNM,Money and Credit,rolling_stat
FEDFUNDS__lag3,0.0007487007,FEDFUNDS,Interest and Exchange Rates,lag
CES0600000008__mom3,0.00073755626,CES0600000008,Prices,momentum
GS5__rollstd6,0.00073642394,GS5,Interest and Exchange Rates,rolling_stat
TOTRESNS__base,0.00073428004,TOTRESNS,Money and Credit,base
IPNCONGD__rollmean6,0.00072723854,IPNCONGD,Output and Income,rolling_stat
TB6MS__rollstd24,0.0007267384,TB6MS,Interest and Exchange Rates,rolling_stat
RPI__lag1,0.0007258528,RPI,Output and Income,lag
WPSID62__rollmean24,0.00072384026,WPSID62,Prices,rolling_stat
HOUST__rollstd6,0.00071931805,HOUST,Housing,rolling_stat
M2REAL__rollmean24,0.0007166006,M2REAL,Money and Credit,rolling_stat
T1YFFM__lag3,0.00070826075,T1YFFM,Interest and Exchange Rates,lag
UEMPMEAN__rollstd24,0.000692688,UEMPMEAN,Labor Market,rolling_stat
DTCOLNVHFNM__lag3,0.00069222477,DTCOLNVHFNM,Money and Credit,lag
IPFINAL__lag6,0.0006837046,IPFINAL,Output and Income,lag
WPSID61__lag9,0.0006824736,WPSID61,Prices,lag
USWTRADE__lag6,0.00067968515,USWTRADE,Labor Market,lag
WPSID62__mom3,0.0006624089,WPSID62,Prices,momentum
UEMP15OV__lag9,0.00066131074,UEMP15OV,Labor Market,lag
OILPRICEx__lag9,0.0006579067,OILPRICEx,Prices,lag
CES2000000008__mom6,0.0006557152,CES2000000008,Prices,momentum
M2REAL__mom3,0.0006555015,M2REAL,Money and Credit,momentum
USWTRADE__rollmean24,0.00064448983,USWTRADE,Labor Market,rolling_stat
NDMANEMP__lag9,0.0006339138,NDMANEMP,Labor Market,lag
UEMPMEAN__rollstd12,0.00063342165,UEMPMEAN,Labor Market,rolling_stat
SP500_RETURN,0.00063201017,SP500_RETURN,Stock Market,volatility
IPFUELS__base,0.000626531,IPFUELS,Output and Income,base
IPDCONGD__lag6,0.0006258705,IPDCONGD,Output and Income,lag
DSERRG3M086SBEA__lag6,0.0006255971,DSERRG3M086SBEA,Prices,lag
IPMAT__mom6,0.0006252215,IPMAT,Output and Income,momentum
IPBUSEQ__mom3,0.00060074864,IPBUSEQ,Output and Income,momentum
USGOVT__lag1,0.00058958074,USGOVT,Labor Market,lag
IPNMAT__lag12,0.00058943976,IPNMAT,Output and Income,lag
CUSR0000SAS__lag9,0.0005892228,CUSR0000SAS,Prices,lag
HOUSTW__base,0.0005821472,HOUSTW,Housing,base
CPIAUCSL__lag1,0.0005816865,CPIAUCSL,Prices,lag
USGOVT__rollstd12,0.00058029045,USGOVT,Labor Market,rolling_stat
USGOVT__mom3,0.0005726101,USGOVT,Labor Market,momentum
DSERRG3M086SBEA__mom6,0.0005713961,DSERRG3M086SBEA,Prices,momentum
SP500__drawdown36,0.00056615024,SP500,Stock Market,drawdown
AWHMAN__rollz6,0.0005626451,AWHMAN,Labor Market,rolling_stat
HOUSTNE__mom6,0.00055894844,HOUSTNE,Housing,momentum
WPSFD49502__mom3,0.0005485556,WPSFD49502,Prices,momentum
SP500__rollz12,0.0005449619,SP500,Stock Market,rolling_stat
CPITRNSL__rollmean6,0.0005433594,CPITRNSL,Prices,rolling_stat
W875RX1__rollstd12,0.0005432105,W875RX1,Output and Income,rolling_stat
USTPU__lag9,0.00054100144,USTPU,Labor Market,lag
SP500__lag6,0.00052994664,SP500,Stock Market,lag
SP500__rollz24,0.0005293287,SP500,Stock Market,rolling_stat
HOUST__lag9,0.0005270328,HOUST,Housing,lag
T1YFFM__lag6,0.00052401604,T1YFFM,Interest and Exchange Rates,lag
OILPRICEx__lag3,0.0005232671,OILPRICEx,Prices,lag
CUMFNS__rollstd24,0.0005198617,CUMFNS,Output and Income,rolling_stat
IPDCONGD__rollstd24,0.0005142181,IPDCONGD,Output and Income,rolling_stat
USFIRE__rollstd6,0.0005133214,USFIRE,Labor Market,rolling_stat
PERMITW__rollstd24,0.0005130498,PERMITW,Housing,rolling_stat
T10YFFM__rollz12,0.00050550286,T10YFFM,Interest and Exchange Rates,rolling_stat
CPITRNSL__mom3,0.0005029721,CPITRNSL,Prices,momentum
CUMFNS__base,0.00050185516,CUMFNS,Output and Income,base
HOUSTS__lag9,0.00049700204,HOUSTS,Housing,lag
PPICMM__base,0.0004941941,PPICMM,Prices,base
DSERRG3M086SBEA__lag9,0.0004906654,DSERRG3M086SBEA,Prices,lag
FEDFUNDS__base,0.00047856747,FEDFUNDS,Interest and Exchange Rates,base
HOUSTNE__rollmean6,0.0004755163,HOUSTNE,Housing,rolling_stat
CES2000000008__rollz12,0.00047279688,CES2000000008,Prices,rolling_stat
CES0600000008__mom6,0.0004690559,CES0600000008,Prices,momentum
IPDMAT__rollmean24,0.00046754503,IPDMAT,Output and Income,rolling_stat
USFIRE__lag1,0.00046248158,USFIRE,Labor Market,lag
IPFPNSS__rollmean24,0.00045857913,IPFPNSS,Output and Income,rolling_stat
UNRATE__mom3,0.0004583523,UNRATE,Labor Market,momentum
UEMP27OV__base,0.0004575124,UEMP27OV,Labor Market,base
CUSR0000SAS__rollmean24,0.0004547619,CUSR0000SAS,Prices,rolling_stat
PERMITW__rollmean6,0.00045414802,PERMITW,Housing,rolling_stat
BAA__mom3,0.00044967327,BAA,Interest and Exchange Rates,momentum
CPIMEDSL__rollstd6,0.0004490943,CPIMEDSL,Prices,rolling_stat
CES1021000001__rollstd12,0.0004388273,CES1021000001,Labor Market,rolling_stat
T10YFFM__mom3,0.00043866172,T10YFFM,Interest and Exchange Rates,momentum
GS5__rollmean12,0.00043720254,GS5,Interest and Exchange Rates,rolling_stat
CPIMEDSL__rollmean6,0.00043202427,CPIMEDSL,Prices,rolling_stat
MANEMP__lag1,0.00043173382,MANEMP,Labor Market,lag
IPDCONGD__base,0.0004273034,IPDCONGD,Output and Income,base
REALLN__lag9,0.0004268688,REALLN,Money and Credit,lag
INDPRO__rollstd12,0.00042582376,INDPRO,Output and Income,rolling_stat
W875RX1__rollstd6,0.00042253302,W875RX1,Output and Income,rolling_stat
BUSLOANS__base,0.00042224926,BUSLOANS,Money and Credit,base
CES2000000008__rollstd24,0.00042045873,CES2000000008,Prices,rolling_stat
