,DT,RF,XGB,Persistence
Accuracy,0.9424,0.9552,0.968,0.9791666666666666
Balanced Accuracy,0.8256679691625304,0.9296784243320309,0.9174939275530679,0.9489402181194566
Precision,0.7666666666666667,0.7439024390243902,0.8529411764705882,0.8970588235294118
Recall,0.6764705882352942,0.8970588235294118,0.8529411764705882,0.9104477611940298
F1,0.71875,0.8133333333333334,0.8529411764705882,0.9037037037037037
MCC,0.6884735284418491,0.7925903044003517,0.8349878551061358,0.8920550490731806
ROC-AUC,0.8256283662477559,0.9698753828281762,0.9772415249762382,0.9489402181194565
